mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.0,10,10,10,26.4814766341604
0.0,10,10,100,0.0
0.0,10,10,200,0.0
0.0,10,100,10,32.112530592565875
0.0,10,100,100,0.0
0.0,10,100,200,0.0
0.0,10,200,10,36.12125393661781
0.0,10,200,100,0.0
0.0,10,200,200,0.0
0.0,100,10,10,29.0
0.0,100,10,100,0.0
0.0,100,10,200,0.0
0.0,100,100,10,36.38035427893039
0.0,100,100,100,0.0
0.0,100,100,200,0.0
0.0,100,200,10,41.88730155790806
0.0,100,200,100,0.0
0.0,100,200,200,0.0
0.0,200,10,10,27.2
0.0,200,10,100,0.0
0.0,200,10,200,0.0
0.0,200,100,10,31.601953612395402
0.0,200,100,100,0.0
0.0,200,100,200,0.0
0.0,200,200,10,40.8242548246621
0.0,200,200,100,0.0
0.0,200,200,200,0.0
0.1,10,10,10,27.649332483024267
0.1,10,10,100,0.0
0.1,10,10,200,0.0
0.1,10,100,10,36.27761392200689
0.1,10,100,100,0.0
0.1,10,100,200,0.0
0.1,10,200,10,37.86771195211095
0.1,10,200,100,0.0
0.1,10,200,200,0.0
0.1,100,10,10,29.072267219071147
0.1,100,10,100,0.0
0.1,100,10,200,0.0
0.1,100,100,10,33.82672984476958
0.1,100,100,100,0.0
0.1,100,100,200,0.0
0.1,100,200,10,38.50391907829946
0.1,100,200,100,0.0
0.1,100,200,200,0.0
0.1,200,10,10,30.6
0.1,200,10,100,0.0
0.1,200,10,200,0.0
0.1,200,100,10,37.48078264897133
0.1,200,100,100,0.0
0.1,200,100,200,0.0
0.1,200,200,10,36.48204667358458
0.1,200,200,100,0.0
0.1,200,200,200,0.0
0.2,10,10,10,28.8
0.2,10,10,100,0.0
0.2,10,10,200,0.0
0.2,10,100,10,37.25586824686283
0.2,10,100,100,0.0
0.2,10,100,200,0.0
0.2,10,200,10,36.83762788185116
0.2,10,200,100,0.0
0.2,10,200,200,0.0
0.2,100,10,10,31.8
0.2,100,10,100,0.0
0.2,100,10,200,0.0
0.2,100,100,10,37.838635636973336
0.2,100,100,100,0.0
0.2,100,100,200,0.0
0.2,100,200,10,37.053073835228375
0.2,100,200,100,0.0
0.2,100,200,200,0.0
0.2,200,10,10,32.8
0.2,200,10,100,0.0
0.2,200,10,200,0.0
0.2,200,100,10,38.42937263428662
0.2,200,100,100,0.0
0.2,200,100,200,0.0
0.2,200,200,10,39.06087413406122
0.2,200,200,100,0.0
0.2,200,200,200,0.0
0.30000000000000004,10,10,10,25.6
0.30000000000000004,10,10,100,0.0
0.30000000000000004,10,10,200,0.0
0.30000000000000004,10,100,10,33.68426302099121
0.30000000000000004,10,100,100,0.0
0.30000000000000004,10,100,200,0.0
0.30000000000000004,10,200,10,39.12333330761446
0.30000000000000004,10,200,100,0.0
0.30000000000000004,10,200,200,0.0
0.30000000000000004,100,10,10,30.4
0.30000000000000004,100,10,100,0.0
0.30000000000000004,100,10,200,0.0
0.30000000000000004,100,100,10,32.03093116444931
0.30000000000000004,100,100,100,0.0
0.30000000000000004,100,100,200,0.0
0.30000000000000004,100,200,10,38.72133325145692
0.30000000000000004,100,200,100,0.0
0.30000000000000004,100,200,200,0.0
0.30000000000000004,200,10,10,30.8
0.30000000000000004,200,10,100,0.0
0.30000000000000004,200,10,200,0.0
0.30000000000000004,200,100,10,35.64675550017007
0.30000000000000004,200,100,100,0.0
0.30000000000000004,200,100,200,0.0
0.30000000000000004,200,200,10,40.12370745773157
0.30000000000000004,200,200,100,0.0
0.30000000000000004,200,200,200,0.0
0.4,10,10,10,31.0
0.4,10,10,100,0.0
0.4,10,10,200,0.0
0.4,10,100,10,39.616109408078856
0.4,10,100,100,0.0
0.4,10,100,200,0.0
0.4,10,200,10,38.79604087587393
0.4,10,200,100,0.0
0.4,10,200,200,0.0
0.4,100,10,10,32.0
0.4,100,10,100,0.0
0.4,100,10,200,0.0
0.4,100,100,10,34.19107740221877
