mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.0,10,10,10,17.65447272451714
0.0,10,10,100,139.10684390892897
0.0,10,10,200,271.59251735004597
0.0,10,100,10,18.536450017546088
0.0,10,100,100,147.9565137367302
0.0,10,100,200,284.20324787101896
0.0,10,200,10,18.6525789163971
0.0,10,200,100,148.63598936929188
0.0,10,200,200,283.62855475408287
0.0,100,10,10,16.78130879242778
0.0,100,10,100,141.633614789922
0.0,100,10,200,272.7028628593462
0.0,100,100,10,18.917080566755573
0.0,100,100,100,153.36902219060292
0.0,100,100,200,291.4715530913978
0.0,100,200,10,19.06795059957788
0.0,100,200,100,156.31839472574688
0.0,100,200,200,290.02464175189
0.0,200,10,10,17.247726814463988
0.0,200,10,100,142.24860392003367
0.0,200,10,200,274.8482199450292
0.0,200,100,10,18.613424129433223
0.0,200,100,100,154.35145135966053
0.0,200,100,200,292.98575492150707
0.0,200,200,10,19.06795059957788
0.0,200,200,100,158.03672522103986
0.0,200,200,200,295.6659740260708
0.1,10,10,10,17.386870319649017
0.1,10,10,100,141.27118262054188
0.1,10,10,200,276.55142356759814
0.1,10,100,10,18.73645001754609
0.1,10,100,100,148.91742232231007
0.1,10,100,200,280.01637882588227
0.1,10,200,10,18.80153257754167
0.1,10,200,100,149.45708803370601
0.1,10,200,200,286.0667888069644
0.1,100,10,10,17.961358432000146
0.1,100,10,100,144.07096976680612
0.1,100,10,200,277.55193097717967
0.1,100,100,10,19.06603422790015
0.1,100,100,100,154.8318516797788
0.1,100,100,200,288.58871923432787
0.1,100,200,10,19.14242743015017
0.1,100,200,100,155.66824289774382
0.1,100,200,200,291.9387772510812
0.1,200,10,10,18.32472348990881
0.1,200,10,100,146.15397643770393
0.1,200,10,200,277.9871948273543
0.1,200,100,10,19.21690426072246
0.1,200,100,100,156.7455051719941
0.1,200,100,200,290.89846612398395
0.1,200,200,10,19.21690426072246
0.1,200,200,100,159.30725949743086
0.1,200,200,200,302.0962568910072
0.2,10,10,10,17.293024038286212
0.2,10,10,100,141.274256638267
0.2,10,10,200,275.54866321226746
0.2,10,100,10,18.557548252202377
0.2,10,100,100,147.39762405812988
0.2,10,100,200,284.4174911590604
0.2,10,200,10,18.80901047644064
0.2,10,200,100,148.76290754574697
0.2,10,200,200,286.5813390740619
0.2,100,10,10,18.373084959637428
0.2,100,10,100,142.52735148318618
0.2,100,10,200,275.43374510514894
0.2,100,100,10,19.142427430150168
0.2,100,100,100,153.08799418067505
0.2,100,100,200,289.4604321099665
0.2,100,200,10,19.14242743015017
0.2,100,200,100,154.55544944524397
0.2,100,200,200,292.5249299961939
0.2,200,10,10,18.810926848118378
0.2,200,10,100,146.467310262362
0.2,200,10,200,275.93584491448064
0.2,200,100,10,19.105189014864028
0.2,200,100,100,156.63601124229308
0.2,200,100,200,294.3701839474626
0.2,200,200,10,19.17966584543631
0.2,200,200,100,157.663844990758
0.2,200,200,200,296.7170211695069
0.30000000000000004,10,10,10,17.93469867012262
0.30000000000000004,10,10,100,141.25740696334864
0.30000000000000004,10,10,200,275.79588548112923
0.30000000000000004,10,100,10,18.628379927231162
0.30000000000000004,10,100,100,147.42230422279425
0.30000000000000004,10,100,200,284.6617669667638
0.30000000000000004,10,200,10,19.030712184291737
0.30000000000000004,10,200,100,149.7651985839147
0.30000000000000004,10,200,200,287.25917251487806
0.30000000000000004,100,10,10,18.685984588327777
0.30000000000000004,100,10,100,143.3942401936218
0.30000000000000004,100,10,200,281.3344661003136
0.30000000000000004,100,100,10,19.14242743015017
0.30000000000000004,100,100,100,153.37991301960332
0.30000000000000004,100,100,200,292.1764847327756
0.30000000000000004,100,200,10,19.17966584543631
0.30000000000000004,100,200,100,154.22807658731162
0.30000000000000004,100,200,200,291.2328564783349
0.30000000000000004,200,10,10,18.54086367053867
0.30000000000000004,200,10,100,144.7912746002881
0.30000000000000004,200,10,200,275.78159206845095
0.30000000000000004,200,100,10,19.17966584543631
0.30000000000000004,200,100,100,154.62685885854543
0.30000000000000004,200,100,200,295.20955784342385
0.30000000000000004,200,200,10,19.21690426072246
0.30000000000000004,200,200,100,155.89929156706566
0.30000000000000004,200,200,200,297.34828543569176
0.4,10,10,10,18.227776454036352
0.4,10,10,100,141.6058303116256
0.4,10,10,200,275.64641168121216
0.4,10,100,10,18.773688432832234
0.4,10,100,100,147.90122552720302
0.4,10,100,200,282.3057118333853
0.4,10,200,10,18.842603736183285
0.4,10,200,100,148.4417570671319
0.4,10,200,200,283.30510649625023
0.4,100,10,10,18.622818400009926
0.4,100,10,100,148.31024539642675
0.4,100,10,200,274.623445435711
0.4,100,100,10,19.06795059957788
0.4,100,100,100,151.50143522203365
0.4,100,100,200,292.31782685085795
0.4,100,200,10,19.105189014864028
0.4,100,200,100,153.9562634231194
0.4,100,200,200,293.343565445563
0.4,200,10,10,18.747573071988562
0.4,200,10,100,145.98005187317102
0.4,200,10,200,279.48391435821617
0.4,200,100,10,19.105189014864028
0.4,200,100,100,155.22800144943977
0.4,200,100,200,294.7778479864224
0.4,200,200,10,19.21690426072246
0.4,200,200,100,155.3439105832975
0.4,200,200,200,297.01016454317187
0.5,10,10,10,17.396845499862827
0.5,10,10,100,144.6642093237529
0.5,10,10,200,274.9071719093806
0.5,10,100,10,18.665618342517305
0.5,10,100,100,147.57314684319675
0.5,10,100,200,281.90931216222464
0.5,10,200,10,18.697295230582213
0.5,10,200,100,150.22564689683506
0.5,10,200,200,284.6965875088491
0.5,100,10,10,18.548153981625678
0.5,100,10,100,144.41718643840528
0.5,100,10,200,274.4213398036236
0.5,100,100,10,19.030712184291737
0.5,100,100,100,153.2944539069221
0.5,100,100,200,291.05684424769004
0.5,100,200,10,19.06795059957788
0.5,100,200,100,152.9663890421868
0.5,100,200,200,291.9285583371825
0.5,200,10,10,18.95431898204172
0.5,200,10,100,145.28047422166338
0.5,200,10,200,278.08513211095385
0.5,200,100,10,19.17966584543631
0.5,200,100,100,156.37718387617295
0.5,200,100,200,293.94158723072616
0.5,200,200,10,19.17966584543631
0.5,200,200,100,155.16228140444392
0.5,200,200,200,297.04664248577126
0.6000000000000001,10,10,10,17.767500868858495
0.6000000000000001,10,10,100,142.54247979438134
0.6000000000000001,10,10,200,274.22445100376376
0.6000000000000001,10,100,10,18.769855689476767
0.6000000000000001,10,100,100,147.8476517537601
0.6000000000000001,10,100,200,281.1572497480362
0.6000000000000001,10,200,10,18.55198672498114
0.6000000000000001,10,200,100,149.4876510982242
0.6000000000000001,10,200,200,284.8287243932744
0.6000000000000001,100,10,10,18.618985656654463
0.6000000000000001,100,10,100,145.5602409493055
0.6000000000000001,100,10,200,279.2537717146116
0.6000000000000001,100,100,10,19.105189014864028
0.6000000000000001,100,100,100,151.2604487027554
0.6000000000000001,100,100,200,288.8434597478405
0.6000000000000001,100,200,10,19.105189014864028
0.6000000000000001,100,200,100,153.29212047540813
0.6000000000000001,100,200,200,291.7332857597129
