mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.0,10,10,10,18.08173595958947
0.0,10,10,100,143.38006181424893
0.0,10,10,200,274.4087791985636
0.0,10,100,10,18.699211602259947
0.0,10,100,100,147.58200166543008
0.0,10,100,200,284.71464756220377
0.0,10,200,10,18.80901047644064
0.0,10,200,100,149.08855155677128
0.0,10,200,200,285.5134157230105
0.0,100,10,10,18.700940386125716
0.0,100,10,100,145.1091128157139
0.0,100,10,200,282.5383022345487
0.0,100,100,10,19.17966584543631
0.0,100,100,100,151.69119754504672
0.0,100,100,200,291.06551140459135
0.0,100,200,10,19.06795059957788
0.0,100,200,100,151.74034530228093
0.0,100,200,200,291.5800385990897
0.0,200,10,10,18.732617274190623
0.0,200,10,100,147.55894640307565
0.0,200,10,200,283.51415233960734
0.0,200,100,10,19.142427430150168
0.0,200,100,100,152.672922715222
0.0,200,100,200,289.724036012663
0.0,200,200,10,19.21690426072246
0.0,200,200,100,153.12998652317225
0.0,200,200,200,290.0824128605867
0.1,10,10,10,18.14773809624283
0.1,10,10,100,142.51154937749362
0.1,10,10,200,276.6017993137861
0.1,10,100,10,18.810926848118378
0.1,10,100,100,148.45755030414975
0.1,10,100,200,284.5100068835392
0.1,10,200,10,18.924558465654542
0.1,10,200,100,149.8347844173921
0.1,10,200,200,286.72958845823274
0.1,100,10,10,18.505354039118295
0.1,100,10,100,145.70901113834375
0.1,100,10,200,281.07570699509597
0.1,100,100,10,19.14242743015017
0.1,100,100,100,153.5720890609441
0.1,100,100,200,288.2216646460755
0.1,100,200,10,19.030712184291737
0.1,100,200,100,152.50637675556726
0.1,100,200,200,289.515878305128
0.1,200,10,10,18.879842151469425
0.1,200,10,100,146.7995856811609
0.1,200,10,200,279.2465803057124
0.1,200,100,10,19.17966584543631
0.1,200,100,100,152.68542716696726
0.1,200,100,200,289.2988657905309
0.1,200,200,10,19.17966584543631
0.1,200,200,100,153.9845023452993
0.1,200,200,200,292.62574435021173
0.2,10,10,10,17.94026019734386
0.2,10,10,100,141.47426412717965
0.2,10,10,200,274.74059820004675
0.2,10,100,10,18.734533645868357
0.2,10,100,100,147.29913198051673
0.2,10,100,200,283.0797423304645
0.2,10,200,10,18.99155739732786
0.2,10,200,100,150.2848271280855
0.2,10,200,200,285.31364601297594
0.2,100,10,10,18.697295230582213
0.2,100,10,100,148.20178316625385
0.2,100,10,200,281.3087802518376
0.2,100,100,10,19.030712184291737
0.2,100,100,100,151.1119365581879
0.2,100,100,200,291.9221266614969
0.2,100,200,10,19.17966584543631
0.2,100,200,100,153.49504817394285
0.2,100,200,200,289.64225915360896
0.2,200,10,10,18.840687364505552
0.2,200,10,100,149.2415159840861
0.2,200,10,200,279.82238774782206
0.2,200,100,10,19.14242743015017
0.2,200,100,100,152.61550617465588
0.2,200,100,200,291.6620501348241
0.2,200,200,10,19.14242743015017
0.2,200,200,100,152.8358340285087
0.2,200,200,200,293.29427277382075
0.30000000000000004,10,10,10,17.732782298444892
0.30000000000000004,10,10,100,140.63508024997546
0.30000000000000004,10,10,200,275.5144610452918
0.30000000000000004,10,100,10,18.924558465654542
0.30000000000000004,10,100,100,148.36602784677538
0.30000000000000004,10,100,200,284.5011166249992
0.30000000000000004,10,200,10,18.915164195077843
0.30000000000000004,10,200,100,150.5907594051083
0.30000000000000004,10,200,200,286.6528583558144
0.30000000000000004,100,10,10,18.734533645868357
0.30000000000000004,100,10,100,145.07860115593888
0.30000000000000004,100,10,200,278.9313098205645
0.30000000000000004,100,100,10,19.105189014864028
0.30000000000000004,100,100,100,151.32692038943026
0.30000000000000004,100,100,200,287.9214216483193
0.30000000000000004,100,200,10,19.105189014864028
0.30000000000000004,100,200,100,152.46475061033925
0.30000000000000004,100,200,200,290.6460174119739
0.30000000000000004,200,10,10,18.993473769005597
0.30000000000000004,200,10,100,147.85352491023977
0.30000000000000004,200,10,200,283.8033051319696
0.30000000000000004,200,100,10,19.17966584543631
0.30000000000000004,200,100,100,152.80645868249857
0.30000000000000004,200,100,200,289.60562306156265
0.30000000000000004,200,200,10,19.14242743015017
0.30000000000000004,200,200,100,153.8298497498477
0.30000000000000004,200,200,200,291.5202497986184
0.4,10,10,10,17.985557421166085
0.4,10,10,100,140.0789894238622
0.4,10,10,200,274.0864674250644
0.4,10,100,10,18.665618342517305
0.4,10,100,100,148.9027275756477
0.4,10,100,200,284.39437057427824
0.4,10,200,10,18.887320050368395
0.4,10,200,100,147.3262061192938
0.4,10,200,200,284.9692167617148
0.4,100,10,10,18.540863670538666
0.4,100,10,100,146.87673271565941
0.4,100,10,200,280.63199700679684
0.4,100,100,10,19.06795059957788
0.4,100,100,100,152.2175944253392
0.4,100,100,200,291.32889191406747
0.4,100,200,10,19.030712184291737
0.4,100,200,100,151.92092495850238
0.4,100,200,200,290.2879620547589
0.4,200,10,10,18.740095173089593
0.4,200,10,100,150.0451645516729
0.4,200,10,200,281.61707819953205
0.4,200,100,10,19.14242743015017
0.4,200,100,100,153.69771479494963
0.4,200,100,200,290.644643589877
0.4,200,200,10,19.21690426072246
0.4,200,200,100,153.10442432984792
0.4,200,200,200,291.8623483678201
0.5,10,10,10,17.75579690477891
0.5,10,10,100,143.01190052043313
0.5,10,10,200,274.80398173548514
0.5,10,100,10,18.654307700262866
0.5,10,100,100,147.95077531205362
0.5,10,100,200,285.0291499076551
0.5,10,200,10,18.885403678690665
0.5,10,200,100,149.09547348851507
0.5,10,200,200,286.80336293158746
0.5,100,10,10,18.507270410796032
0.5,100,10,100,146.55578103150503
